iter	Logloss
0	0.6838263799
1	0.6736693325
2	0.6630503383
3	0.6536952829
4	0.6447820725
5	0.6387318995
6	0.6308908191
7	0.6234242037
8	0.617935307
9	0.6136433058
10	0.6084710957
11	0.604662603
12	0.6005916648
13	0.595157683
14	0.5900821633
15	0.5865330279
16	0.5827850089
17	0.5793438502
18	0.5747795772
19	0.5717975578
20	0.5674199839
21	0.5635707262
22	0.5614191106
23	0.5589052707
24	0.5566012638
25	0.5549737532
26	0.5516127768
27	0.5486815732
28	0.5456920859
29	0.5433352978
30	0.5420640035
31	0.5403825888
32	0.5388801806
33	0.5367972928
34	0.5353446897
35	0.533419359
36	0.5320811899
37	0.5308809254
38	0.5295970534
39	0.5284763536
40	0.5274541411
41	0.5263792036
42	0.5253350364
43	0.5242288233
44	0.5232943173
45	0.522162219
46	0.5213747139
47	0.5204204429
48	0.5195606727
49	0.5186655278
50	0.5179725233
51	0.5166965123
52	0.5152503665
53	0.5140933938
54	0.513330314
55	0.5126057531
56	0.5113650044
57	0.5107869953
58	0.5096577045
59	0.5091516798
60	0.5083270595
61	0.5079300783
62	0.5074663346
63	0.50700523
64	0.5063358647
65	0.5059200171
66	0.5055520655
67	0.5046850519
68	0.5042650491
69	0.5037721636
70	0.5034243699
71	0.5029786504
72	0.5026322604
73	0.5020040531
74	0.5016602461
75	0.5013516452
76	0.5009083963
77	0.5002503171
78	0.4999234674
79	0.4992856023
80	0.4988841853
81	0.4983104436
82	0.4980424953
83	0.4977854963
84	0.4972951936
85	0.4970421252
86	0.4964487309
87	0.4959642679
88	0.4957370846
89	0.4953498735
90	0.4949667614
91	0.4946098714
92	0.4942870645
93	0.494178021
94	0.4938485322
95	0.4936083782
96	0.49344369
97	0.4931603566
98	0.492957767
99	0.4926813963
100	0.4922243345
101	0.4919518942
102	0.4917528982
103	0.4915941058
104	0.4912928605
105	0.4909725242
106	0.4906414632
107	0.4904389298
108	0.49012477
109	0.4897572115
110	0.4896345235
111	0.4894947659
112	0.4893962786
113	0.4891891971
114	0.4888927807
115	0.4887026003
116	0.4885182034
117	0.4883522237
118	0.4881724873
119	0.4878783169
120	0.4877753376
121	0.487673369
122	0.4875382719
123	0.4872930644
124	0.4870008032
125	0.4869223615
126	0.4867640744
127	0.4865145433
128	0.4863080233
129	0.4860250268
130	0.4858366993
131	0.4855635853
132	0.4854257368
133	0.4852566688
134	0.485018817
135	0.4847907353
136	0.4846369964
137	0.4844845488
138	0.4843584919
139	0.4841890309
140	0.4841163726
141	0.4839658904
142	0.4838797561
143	0.4836049576
144	0.4835162404
145	0.4833943947
146	0.483139754
147	0.4830692856
148	0.482885001
149	0.4827751714
150	0.4826192426
151	0.4825501218
152	0.4824146878
153	0.4823372007
154	0.4822428685
155	0.482031688
156	0.4819271926
157	0.4817354962
158	0.4815193745
159	0.4814641789
160	0.4813565953
161	0.4811808455
162	0.4810756203
163	0.4809744939
164	0.4808816778
165	0.4808183967
166	0.4807808322
167	0.4807207516
168	0.4806172109
169	0.4805285499
170	0.4803358427
171	0.4802422405
172	0.480136566
173	0.4800504879
174	0.4799911373
175	0.4798884949
176	0.4797825958
177	0.4796609747
178	0.4795730436
179	0.4795587815
180	0.479514816
181	0.4794783184
182	0.479426548
183	0.4793742723
184	0.4792609052
185	0.4791714581
186	0.4790766768
187	0.4790101951
188	0.4788949189
189	0.4788345576
190	0.4787137225
191	0.4786422996
192	0.4785891816
193	0.4785401064
194	0.4784649776
195	0.4784075922
196	0.478343918
197	0.4782541901
198	0.4782005107
199	0.4781160048
200	0.4781152748
201	0.4779613112
202	0.4779304848
203	0.4778739978
204	0.477803361
205	0.4777044807
206	0.477630531
207	0.4775451267
208	0.4774953777
209	0.4774185082
210	0.4773733074
211	0.4772959887
212	0.4772229374
213	0.4771802072
214	0.4771436535
215	0.4770483106
216	0.4769923851
217	0.4769523501
218	0.4768850262
219	0.4767879426
220	0.4767616082
221	0.4766901292
222	0.47665526
223	0.4765260024
224	0.4764437425
225	0.4763651324
226	0.476327568
227	0.4762966293
228	0.4762672628
229	0.4762023533
230	0.4761620375
231	0.4761341309
232	0.4760633256
233	0.4759771914
234	0.4759415922
235	0.4759004903
236	0.4758338963
237	0.4757734788
238	0.4757201924
239	0.4756488256
240	0.4756270955
241	0.4755852637
242	0.4755474747
243	0.4754874502
244	0.4754409579
245	0.4753613371
246	0.4753322514
247	0.4753141149
248	0.4752874436
249	0.4752539781
250	0.4751305602
251	0.4751022044
252	0.4750247734
253	0.4750072546
254	0.4749728907
255	0.4749230294
256	0.4747728279
257	0.4746769236
258	0.4745778186
259	0.474528182
260	0.4744729303
261	0.4744104352
262	0.4743630445
263	0.4743222234
264	0.4742826376
265	0.4742604583
266	0.474243501
267	0.4742292388
268	0.4741603988
269	0.4741080108
270	0.4740722993
271	0.4739854351
272	0.4739254668
273	0.473873921
274	0.4738186693
275	0.4737715032
276	0.4737417437
277	0.4737023825
278	0.473648703
279	0.4736182135
280	0.4735060817
281	0.4734745815
282	0.4734170277
283	0.4733595861
284	0.4733161259
285	0.47328996
286	0.4732224114
287	0.4732067456
288	0.4731475072
289	0.4731065176
290	0.4730571617
291	0.4730160598
292	0.4729493535
293	0.4728802889
294	0.4728341335
295	0.4727709085
296	0.4727231248
297	0.4726811245
298	0.4726433916
299	0.4725980223
300	0.4725686558
301	0.4725066661
302	0.4724761205
303	0.4724273822
304	0.4723856065
305	0.4723454031
306	0.4722565736
307	0.4721993005
308	0.4721374792
309	0.4720743104
310	0.4720265828
311	0.4719689728
312	0.4719090045
313	0.4718625684
314	0.4717917069
315	0.4717319071
316	0.4716732302
317	0.4716210668
318	0.4715490824
319	0.4715053976
320	0.4714338624
321	0.4713541854
322	0.4713175194
323	0.4712498585
324	0.4711915186
325	0.4711562001
326	0.4711155475
327	0.4710750632
328	0.4710213276
329	0.4709074552
330	0.4708588573
331	0.4708274694
332	0.47078954
333	0.4707304139
334	0.4706783909
335	0.470629793
336	0.4704989913
337	0.4704446661
338	0.4703913797
339	0.4703370264
340	0.4702860421
341	0.4702595954
342	0.4701222803
343	0.4700714364
344	0.4700309522
345	0.4699840107
346	0.4699480466
347	0.4698971746
348	0.4698435232
349	0.469796329
350	0.4697560132
351	0.4697124969
352	0.4696602492
353	0.4696290298
354	0.4695772594
355	0.4695060611
356	0.4694684967
357	0.4694234643
358	0.4693895496
359	0.4692657667
360	0.4692186849
361	0.4691920416
362	0.4691379972
363	0.4691126735
364	0.4690785342
365	0.4690225806
366	0.4689790643
367	0.4689299049
368	0.4688890557
369	0.4687707755
370	0.4687307405
371	0.4687022443
372	0.4686644273
373	0.4686208548
374	0.4685878947
375	0.4685237432
376	0.4684740223
377	0.4684373282
378	0.4683966474
379	0.4683550964
380	0.4683198341
381	0.4682925732
382	0.4682325768
383	0.4681758091
384	0.4681473972
385	0.4681225227
386	0.4681023648
387	0.468063537
388	0.4680261972
389	0.4679643759
390	0.4678924757
391	0.4678486225
392	0.4677902825
393	0.4677493491
394	0.4677015092
395	0.4676595651
396	0.4675629869
397	0.4675305041
398	0.4674977967
399	0.4674525958
400	0.4674166879
401	0.4673640471
402	0.467327718
403	0.4672947018
404	0.4672628366
405	0.4672178884
406	0.4671805767
407	0.4671429281
408	0.4671098556
409	0.467085655
410	0.4670473044
411	0.4670170395
412	0.4669857078
413	0.46694017
414	0.4669117019
415	0.4668464555
416	0.466818184
417	0.4667978296
418	0.4667105161
419	0.4666719972
420	0.466650604
421	0.4666205075
422	0.4665795741
423	0.4665300497
424	0.4664969493
425	0.4664660105
426	0.4664456
427	0.46641643
428	0.4663970021
429	0.4663592973
430	0.4663128892
431	0.4662833262
432	0.466254437
433	0.466203958
434	0.4661027756
435	0.4660577151
436	0.4659497946
437	0.4659097315
438	0.4658905843
439	0.4658720548
440	0.465837326
441	0.4657941185
442	0.465752427
443	0.4657225833
444	0.4656749399
445	0.4656475386
446	0.4656199409
447	0.4655809727
448	0.4655714833
449	0.4655290058
450	0.465501773
451	0.4654758597
452	0.4654427592
453	0.4654181093
454	0.4653807695
455	0.4653359898
456	0.4653034509
457	0.4652710522
458	0.4652066481
459	0.4651805383
460	0.465153137
461	0.4651160218
462	0.4650899682
463	0.4650542006
464	0.4650244691
465	0.4649682909
466	0.4649508844
467	0.4649209845
468	0.464838528
469	0.4647526465
470	0.4647322359
471	0.4646520536
472	0.4646000586
473	0.4645515449
474	0.4645144858
475	0.46447563
476	0.4644354265
477	0.4644108889
478	0.4643704328
479	0.4643474954
480	0.4643167813
481	0.464236964
482	0.4642068956
483	0.4641776975
484	0.4641601226
485	0.4641145848
486	0.4640859483
487	0.4640400175
488	0.4640216845
489	0.463987068
490	0.4639479875
491	0.4639108161
492	0.4638872612
493	0.4638556487
494	0.4638318129
495	0.463815361
496	0.4637696548
497	0.4637266719
498	0.4636839136
499	0.4636551928
500	0.4636284373
501	0.4635702658
502	0.463552775
503	0.4635273952
504	0.4634871075
505	0.4634705432
506	0.463446904
507	0.4634316312
508	0.4633958074
509	0.4633730105
510	0.4633460304
511	0.463292042
512	0.4632515578
513	0.4632274975
514	0.4632041952
515	0.4631671362
516	0.4631425143
517	0.4630666275
518	0.4630420057
519	0.4629711442
520	0.4629282456
521	0.4628937133
522	0.462866312
523	0.4628322008
524	0.4627934853
525	0.4627722606
526	0.4627486214
527	0.4627330678
528	0.4627274528
529	0.462696851
530	0.4626593427
531	0.4626331487
532	0.4625620066
533	0.4625113872
534	0.4624902748
535	0.4624641931
536	0.4624335071
537	0.4624009119
538	0.4623659585
539	0.4623433581
540	0.462322386
541	0.462256185
542	0.462229626
543	0.462199305
544	0.4621632566
545	0.4621410493
546	0.4620972241
547	0.462073978
548	0.4620480928
549	0.462033578
550	0.4620127744
551	0.4619767541
552	0.4619448328
553	0.461909402
554	0.4618882054
555	0.4618803724
556	0.4618602707
557	0.4618498829
558	0.4618226782
559	0.4618093145
560	0.4617417098
561	0.4617092831
562	0.4616824153
563	0.46167447
564	0.4616440367
565	0.4616172531
566	0.4616125084
567	0.4615480762
568	0.46151433
569	0.461481426
570	0.4614493643
571	0.461391642
572	0.4613568851
573	0.4613342004
574	0.4613269571
575	0.4612791453
576	0.4612596331
577	0.4612392506
578	0.4611785524
579	0.4611159169
580	0.4610918566
581	0.4610373629
582	0.4609561418
583	0.4609360962
584	0.4608783739
585	0.4608520396
586	0.4608266036
587	0.4607943734
588	0.4607684321
589	0.4606966442
590	0.4606918714
591	0.4606616907
592	0.4606315943
593	0.460601554
594	0.4605452073
595	0.4604742898
596	0.4604543846
597	0.4604359954
598	0.4604261411
599	0.4603940232
600	0.4603673519
601	0.4603533144
